Driver,LapTime,Compound,TyreLife,LapNumber
LEC,0 days 00:01:38.390000,HARD,17.0,30.0
LEC,0 days 00:01:38.746000,HARD,18.0,31.0
LEC,0 days 00:01:38.948000,HARD,19.0,32.0
LEC,0 days 00:01:41.323000,HARD,20.0,33.0
LEC,0 days 00:01:59.477000,HARD,1.0,34.0
LEC,0 days 00:01:38.073000,HARD,2.0,35.0
LEC,0 days 00:01:37.313000,HARD,3.0,36.0
LEC,0 days 00:01:37.170000,HARD,4.0,37.0
LEC,0 days 00:01:37.170000,HARD,5.0,38.0
LEC,0 days 00:01:37.287000,HARD,6.0,39.0
LEC,,HARD,7.0,40.0
STR,0 days 00:01:44.670000,SOFT,4.0,1.0
STR,0 days 00:01:39.892000,SOFT,5.0,2.0
STR,0 days 00:01:39.625000,SOFT,6.0,3.0
STR,0 days 00:01:39.745000,SOFT,7.0,4.0
STR,0 days 00:01:39.144000,SOFT,8.0,5.0
STR,0 days 00:01:39.714000,SOFT,9.0,6.0
STR,0 days 00:01:39.945000,SOFT,10.0,7.0
STR,0 days 00:01:39.801000,SOFT,11.0,8.0
STR,0 days 00:01:40.106000,SOFT,12.0,9.0
STR,0 days 00:01:40.192000,SOFT,13.0,10.0
STR,0 days 00:01:40.923000,SOFT,14.0,11.0
STR,0 days 00:01:41.039000,SOFT,15.0,12.0
STR,0 days 00:01:41.120000,SOFT,16.0,13.0
STR,0 days 00:01:40.002000,SOFT,17.0,14.0
STR,0 days 00:01:42.841000,SOFT,18.0,15.0
STR,0 days 00:01:59.876000,HARD,1.0,16.0
STR,0 days 00:01:37.507000,HARD,2.0,17.0
STR,0 days 00:01:38.127000,HARD,3.0,18.0
STR,0 days 00:01:38.587000,HARD,4.0,19.0
STR,0 days 00:01:38.038000,HARD,5.0,20.0
STR,0 days 00:01:38.273000,HARD,6.0,21.0
STR,0 days 00:01:38.730000,HARD,7.0,22.0
STR,0 days 00:01:38.295000,HARD,8.0,23.0
STR,0 days 00:01:38.478000,HARD,9.0,24.0
STR,0 days 00:01:38.250000,HARD,10.0,25.0
STR,0 days 00:01:38.482000,HARD,11.0,26.0
STR,0 days 00:01:39.021000,HARD,12.0,27.0
STR,0 days 00:01:38.723000,HARD,13.0,28.0
STR,0 days 00:01:38.710000,HARD,14.0,29.0
STR,0 days 00:01:41.467000,HARD,15.0,30.0
STR,0 days 00:01:57.063000,HARD,1.0,31.0
STR,0 days 00:01:36.546000,HARD,2.0,32.0
STR,0 days 00:01:37.210000,HARD,3.0,33.0
STR,0 days 00:01:37.168000,HARD,4.0,34.0
STR,0 days 00:01:37.521000,HARD,5.0,35.0
STR,0 days 00:01:37.720000,HARD,6.0,36.0
STR,0 days 00:01:37.680000,HARD,7.0,37.0
STR,0 days 00:01:37.274000,HARD,8.0,38.0
STR,0 days 00:01:37.456000,HARD,9.0,39.0
STR,0 days 00:01:37.916000,HARD,10.0,40.0
STR,0 days 00:02:06.809000,HARD,11.0,41.0
STR,0 days 00:01:37.298000,HARD,12.0,42.0
STR,0 days 00:01:37.304000,HARD,13.0,43.0
STR,0 days 00:01:37.299000,HARD,14.0,44.0
STR,0 days 00:01:37.222000,HARD,15.0,45.0
STR,0 days 00:01:37.562000,HARD,16.0,46.0
STR,0 days 00:01:37.257000,HARD,17.0,47.0
STR,0 days 00:01:37.448000,HARD,18.0,48.0
STR,0 days 00:01:37.551000,HARD,19.0,49.0
STR,0 days 00:01:37.388000,HARD,20.0,50.0
STR,0 days 00:01:37.866000,HARD,21.0,51.0
STR,0 days 00:01:37.579000,HARD,22.0,52.0
STR,0 days 00:01:38.379000,HARD,23.0,53.0
STR,0 days 00:01:37.597000,HARD,24.0,54.0
STR,0 days 00:01:37.701000,HARD,25.0,55.0
STR,0 days 00:01:38.110000,HARD,26.0,56.0
STR,0 days 00:01:37.991000,HARD,27.0,57.0
SAR,0 days 00:01:46.855000,SOFT,1.0,1.0
SAR,0 days 00:01:40.467000,SOFT,2.0,2.0
SAR,0 days 00:01:40.349000,SOFT,3.0,3.0
SAR,0 days 00:01:40.644000,SOFT,4.0,4.0
